year,value
1969,91.11
1970,90.05
1971,99.17
1972,117.50
1973,94.78
1974,67.07
1975,88.70
1976,104.70
1977,93.82
1978,96.11
1979,107.80
1980,133.50
1981,123.80
1982,139.40
1983,164.40
1984,164.50
1985,207.30
1986,248.60
1987,241.00
1988,276.50
1989,348.60
1990,328.75
1991,388.51
1992,435.64
1993,465.95
1994,455.19
1995,614.57
1996,743.25
1997,962.37
1998,1190.05
1999,1428.68
2000,1330.93
2001,1144.93
2002,899.18
2003,1080.64
2004,1199.21
2005,1262.07
2006,1416.42
2007,1479.22
2008,877.56
2009,1110.38
2010,1241.53
2011,1243.32
2012,1422.29
2013,1807.78
2014,2054.27
2015,2054.08
2016,2246.63
2017,2664.34
2018,2567.31
2019,3176.75
2020,3695.31
2021,4674.77
2022,3912.38
2023,4685.05
2024,6010.91
2025,6853.03
